"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","mCh-7","BioRep6","2",-0.175000000000001,1.12896440480613,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep1","1",-0.664999999999999,1.58556827322057,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep2","1",-0.460000000000001,1.37554181813974,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep3","1",-0.445,1.36131411649947,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep4","2",-0.255000000000001,1.19333574303172,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep5","2",-0.555,1.46916863327831,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","PGK1-ORF","BioRep6","2",-0.455,1.3707828049797,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep1","1",0.234999999999999,0.849684999138651,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep2","1",0.58,0.668963777393056,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep3","1",0.465,0.72447107727744,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-59bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-59bp","tRPS3_WT","59bp","RPS3-ORF","BioRep4","2",0.945,0.519429551648832,FALSE,FALSE
