"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","BioRep5","2",0.100000000000001,0.933032991536807,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modA","tRPS3","modA","BioRep6","2",0.280000000000001,0.823591017267572,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep1","1",-0.915000000000001,1.88556907183648,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep2","1",-0.145000000000001,1.10573065332027,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep3","1",0.0899999999999981,0.939522749214013,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep4","2",-0.58,1.49484924863494,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep5","2",0.0600000000000005,0.959264119325264,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modA","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modA","tRPS3","modA","BioRep6","2",-0.0199999999999996,1.01395947979003,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep1","1",-1.725,3.30580127261685,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modB","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modB","tRPS3","modB","BioRep2","1",-1.56,2.9485384345822,FALSE,FALSE
