"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"K4","Sample 244",14.42,NA,0,NA,"K4",14.42,"1","K","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","RPS3-ORF",14.36,0.0600000000000005,0.959264119325264
TRUE,255,"L4","Sample 268",13.76,NA,0,NA,"L4",13.76,"1","L","4","pPGK1-mCherry-tRPS3_mod0_BioRep1","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep1","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","3","PGK1-ORF",14.36,-0.6,1.5157165665104
TRUE,255,"A5","Sample 5",11.5,NA,0,NA,"A5",11.5,"1","A","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","mCh-7",13.385,-1.885,3.69352924291758
TRUE,255,"B5","Sample 29",13.84,NA,0,NA,"B5",13.84,"1","B","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","URA3-ORF",13.385,0.455,0.729510172120088
TRUE,255,"C5","Sample 53",13.65,NA,0,NA,"C5",13.65,"1","C","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","RPS3-ORF",13.385,0.265000000000001,0.832198734711524
TRUE,255,"D5","Sample 77",13.58,NA,0,NA,"D5",13.58,"1","D","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","1","PGK1-ORF",13.385,0.195,0.873572895916694
TRUE,255,"E5","Sample 101",11.57,NA,0,NA,"E5",11.57,"1","E","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","mCh-7",13.385,-1.815,3.51859630368974
TRUE,255,"F5","Sample 125",13.55,NA,0,NA,"F5",13.55,"1","F","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","URA3-ORF",13.385,0.165000000000001,0.891928519420092
TRUE,255,"G5","Sample 149",13.27,NA,0,NA,"G5",13.27,"1","G","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","RPS3-ORF",13.385,-0.115,1.08297504552592
TRUE,255,"H5","Sample 173",13.2,NA,0,NA,"H5",13.2,"1","H","5","pPGK1-mCherry-tRPS3_mod0_BioRep2","pPGK1-mCherry-tRPS3_mod0","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_mod0","tRPS3","mod0",FALSE,"+RT","2","PGK1-ORF",13.385,-0.185,1.13681697323601
