,experiment,strain,max gr,time of max gr
47,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tRPS13,0.376979668270224,2.877929444444444
48,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tRPS3,0.3701293933243167,2.9711056481481473
49,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tSRO9_long,0.3829585231658551,3.00710537037037
50,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tSUN4,0.37178984838291684,3.1574576851851845
51,20201126-Pro-ter_mTurq2-collection_n3,pRPS3-mTurq-tTOS6,0.36889754424809523,2.998634907407407
52,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tCLN2,0.3836304214622645,2.9351056481481486
53,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tHSP26,0.38401569095925386,2.712756481481483
54,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tPAB1,0.374251851874989,2.7614617592592596
55,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tPGK1,0.3712306167676133,2.8461657407407417
56,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tPMA1_long,0.33571628871019527,3.3226334259259254
57,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tRPS13,0.3601345022656222,3.0198116666666657
58,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tRPS3,0.37648218275332895,2.835577592592592
59,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tSRO9_long,0.37963355238528756,2.9986339814814817
60,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tSUN4,0.3594342105008716,3.062163888888888
61,20201126-Pro-ter_mTurq2-collection_n3,pSRO9-mTurq-tTOS6,0.3672475537178167,2.8927538888888886
,experiment,strain,max gr,time of max gr
0,20201122-Pro-ter_mTurq2-collection_n2,POT1-ccdB,0.402731938111476,2.7274844444444444
1,20201122-Pro-ter_mTurq2-collection_n2,null,,
2,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tCLN2,0.3835258745492915,2.5136111111111115
3,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tHSP26,0.3949412916270015,2.4056174074074077
4,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tPAB1,0.40711504939664134,2.5093760185185188
5,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tPGK1,0.3873069313331392,2.706307592592593
6,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tPMA1_long,0.3870664433234085,2.708426111111111
7,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tRPS13,0.38881568298199637,2.752893333333333
8,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tRPS3,0.40283300539775285,2.816422037037037
9,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tSRO9_long,0.36546660123149044,2.784658240740741
10,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tSUN4,0.3876960347400378,2.714777592592593
11,20201122-Pro-ter_mTurq2-collection_n2,pCLN2-mTurq-tTOS6,0.398304880811043,2.74654175925926
12,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tCLN2,0.39788146612472874,3.1954643518518515
13,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tHSP26,0.39508955185504546,3.371220092592592
14,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tPAB1,0.389793238145534,2.9371245370370374
15,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tPGK1,0.38079514124502367,3.06417787037037
16,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tPMA1_long,0.39413411258366937,3.307693611111111
17,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tRPS13,0.40189440393484915,3.2484022222222224
18,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tRPS3,0.39077874634168497,3.15311361111111
19,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tSRO9_long,0.387627404695884,3.3246344444444436
20,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tSUN4,0.3968945933978955,2.9307699074074076
21,20201122-Pro-ter_mTurq2-collection_n2,pHSP26-mTurq-tTOS6,0.38713506952520066,2.8354800925925927
22,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tCLN2,0.4071465885880871,2.8354799074074073
23,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tHSP26,0.3972467437792668,2.784657222222222
24,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tPAB1,0.40138565482270766,2.947712777777777
25,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tPGK1,0.4221261415096621,2.873596759259259
26,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tPMA1_long,0.39828725736286863,2.860890648148148
27,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tRPS13,0.415818605123035,3.0493566666666663
28,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tRPS3,0.4105317197174422,3.0302967592592593
29,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tSRO9_long,0.3916650638211647,2.7296025000000004
30,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tSUN4,0.4122672340868163,3.1954646296296287
31,20201122-Pro-ter_mTurq2-collection_n2,pPGK1-mTurq-tTOS6,0.39179376847949987,2.649131944444444
32,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tCLN2,0.3953044906411386,2.625840648148148
33,20201122-Pro-ter_mTurq2-collection_n2,pRPS13-mTurq-tHSP26,0.4087671271315528,2.7274837962962963
