"strain","promoter","mCherry","UTR3","target_id","bio_rep","deltacq","rel_abund_deltacq","na.rm"
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","PGK1-ORF","bio_rep2",-0.242222222222221,1.18281317812856,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","PGK1-ORF","bio_rep3",-0.102222222222222,1.07342561631324,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","RPS3-ORF","bio_rep1",0.823333333333334,0.565134694636578,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","RPS3-ORF","bio_rep2",0.457777777777778,0.728106918141862,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","RPS3-ORF","bio_rep3",0.167777777777777,0.890212844586483,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","URA3-ORF","bio_rep1",-0.146666666666667,1.10700878159531,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","URA3-ORF","bio_rep2",-0.282222222222222,1.21606658278498,FALSE
"pPGK1-mCherry-tRPS13","pPGK1","mCherry","tRPS13","URA3-ORF","bio_rep3",-0.0522222222222233,1.0368607991955,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","mCh-7","bio_rep1",-0.785555555555556,1.72375597863239,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","mCh-7","bio_rep2",-1.28111111111111,2.43026074642314,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","mCh-7","bio_rep3",-0.838888888888889,1.78867204126227,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","PGK1-ORF","bio_rep1",-0.565555555555555,1.47995730410671,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","PGK1-ORF","bio_rep2",-0.301111111111112,1.23209296109867,FALSE
"pPGK1-mCherry-tRPS3","pPGK1","mCherry","tRPS3","PGK1-ORF","bio_rep3",-0.238888888888889,1.18008345411193,FALSE
