"strain","Pro_mCh","Promoter","mCherry","UTR3","Terminator","Length","target_id","BioRep","ExpRep","median_deltacq","rel_abund_deltacq","na.rm","remove"
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep1","1",0.455,0.729510172120088,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep2","1",0.543333333333333,0.68618365522189,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep3","1",0.501666666666667,0.706290371068098,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep4","2",0.456666666666667,0.728667895533472,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep5","2",0.436666666666667,0.738839720294814,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","RPS3-ORF","BioRep6","2",0.343333333333334,0.788218035979237,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep1","1",2.775,0.146097156070156,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep2","1",3.08333333333333,0.117984289085212,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep3","1",3.04166666666667,0.121441492644201,FALSE,FALSE
"pRPS3-mCherry-tRPS3_WT-86bp","pRPS3-mCherry","pRPS3","mCherry","tRPS3_WT-86bp","tRPS3_WT","86bp","SRO9-ORF","BioRep4","2",2.82666666666667,0.140957615880726,FALSE,FALSE
