exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pRPS3-mCherry-tRPS3_modA_bio_rep3,pRPS3-mCherry-tRPS3_modA,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,-0.2988888888888894,tRPS3_modA,tRPS3,modA,-0.5648148148148143,0.2659259259259249,0.8316647984720461,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep1,pRPS3-mCherry-tRPS3_modB,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,1.4688888888888894,tRPS3_modB,tRPS3,modB,-0.5648148148148143,2.033703703703704,0.24422728574338773,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep2,pRPS3-mCherry-tRPS3_modB,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,1.2633333333333336,tRPS3_modB,tRPS3,modB,-0.5648148148148143,1.828148148148148,0.28162588590773496,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modB_bio_rep3,pRPS3-mCherry-tRPS3_modB,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,1.6888888888888882,tRPS3_modB,tRPS3,modB,-0.5648148148148143,2.2537037037037027,0.20968510617427985,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep1,pRPS3-mCherry-tRPS3_modC,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,-0.6322222222222216,tRPS3_modC,tRPS3,modC,-0.5648148148148143,-0.06740740740740725,1.0478319860515077,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep2,pRPS3-mCherry-tRPS3_modC,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,-0.7799999999999994,tRPS3_modC,tRPS3,modC,-0.5648148148148143,-0.21518518518518504,1.16085291258436,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modC_bio_rep3,pRPS3-mCherry-tRPS3_modC,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,-0.7944444444444443,tRPS3_modC,tRPS3,modC,-0.5648148148148143,-0.22962962962962996,1.1725338963071144,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep1,pRPS3-mCherry-tRPS3_modD,bio_rep1,pRPS3-mCherry,pRPS3,mCherry,-0.120000000000001,tRPS3_modD,tRPS3,modD,-0.5648148148148143,0.44481481481481333,0.7346786143666302,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep2,pRPS3-mCherry-tRPS3_modD,bio_rep2,pRPS3-mCherry,pRPS3,mCherry,0.02333333333333165,tRPS3_modD,tRPS3,modD,-0.5648148148148143,0.588148148148146,0.6651962090512513,FALSE
1,mCh-7,pRPS3-mCherry-tRPS3_modD_bio_rep3,pRPS3-mCherry-tRPS3_modD,bio_rep3,pRPS3-mCherry,pRPS3,mCherry,-0.2655555555555562,tRPS3_modD,tRPS3,modD,-0.5648148148148143,0.2992592592592581,0.8126695482228182,FALSE
