"strain","pro_mCh","promoter","mCherry","target_id","UTR3","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep6","2",0.588333333333333,0.66511082955386,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep1","1",0.616666666666667,0.652176034882782,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep2","1",0.734999999999999,0.600818024763426,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modA","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modA","tPIR1","modA","bio_rep3","1",0.703333333333333,0.614151574684587,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep4","2",2.45,0.183010711993203,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep5","2",2.93833333333333,0.130458845051718,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep6","2",2.66,0.158219574246285,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep1","1",2.95666666666667,0.128811502541162,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep2","1",3.32666666666667,0.0996720860491496,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modB","tPIR1","modB","bio_rep3","1",3.03333333333333,0.122144996054281,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep4","2",-0.52,1.43395524801583,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep5","2",-0.751666666666667,1.68373683645768,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep6","2",-0.369999999999999,1.29235283063749,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep1","1",-0.673333333333334,1.59475337678639,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep2","1",-0.683333333333334,1.60584576372675,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modB","tPIR1","modB","bio_rep3","1",-0.806666666666667,1.74916534011167,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep4","2",0.170000000000002,0.888842681166569,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep5","2",0.218333333333334,0.859557863261581,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep6","2",-0.289999999999999,1.22264027769207,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep1","1",0.396666666666667,0.7596113321178,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep2","1",0.436666666666666,0.738839720294815,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modB","tPIR1","modB","bio_rep3","1",0.533333333333333,0.690956439983888,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep4","2",0.49,0.712025097798536,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep5","2",0.758333333333333,0.591178893013574,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep6","2",0.26,0.835087919428369,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep1","1",0.726666666666667,0.604298528173384,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep2","1",0.686666666666666,0.621287672242967,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modB","pPIR1-mCherry","pPIR1","mCherry","URA3-ORF","tPIR1_modB","tPIR1","modB","bio_rep3","1",0.813333333333334,0.569065517293911,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep4","2",2.735,0.150204506190856,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep5","2",2.725,0.151249261152412,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep6","2",2.80833333333333,0.142760292413846,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep1","1",3.42,0.0934280780396837,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep2","1",3.17833333333333,0.110465415503772,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","mCh-7","tPIR1_modC","tPIR1","modC","bio_rep3","1",3.6,0.0824692444233059,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep4","2",-0.534999999999998,1.44894215455488,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep5","2",-0.515000000000001,1.42899413974109,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep6","2",-0.421666666666667,1.33947408244417,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep1","1",-0.69,1.61328351844425,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep2","1",-0.791666666666668,1.73107312201229,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PGK1-ORF","tPIR1_modC","tPIR1","modC","bio_rep3","1",-0.75,1.68179283050743,FALSE,FALSE
"pPIR1-mCherry-tPIR1_modC","pPIR1-mCherry","pPIR1","mCherry","PIR1-ORF","tPIR1_modC","tPIR1","modC","bio_rep4","2",0.315000000000001,0.803850990743151,FALSE,FALSE
