exp_rep,target_id,sample_id,strain,bio_rep,pro_mCh,promoter,mCherry,delta_cq,UTR3,terminator,construct,ref_delta_cq,deltadelta_cq,rel_abund_delta_deltacq,remove
1,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep2,pPGK1-mCherry-tTSA1_modC,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-0.5050000000000008,tTSA1_modC,tTSA1,modC,-0.4794444444444442,-0.02555555555555661,1.0178715804300682,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modC_bio_rep3,pPGK1-mCherry-tTSA1_modC,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-0.3249999999999993,tTSA1_modC,tTSA1,modC,-0.4794444444444442,0.15444444444444488,0.8984782938847244,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep1,pPGK1-mCherry-tTSA1_modD,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,-0.03833333333333222,tTSA1_modD,tTSA1,modD,-0.4794444444444442,0.44111111111111195,0.7365671130106276,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep2,pPGK1-mCherry-tTSA1_modD,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.21666666666666679,tTSA1_modD,tTSA1,modD,-0.4794444444444442,0.6961111111111109,0.6172337645224193,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modD_bio_rep3,pPGK1-mCherry-tTSA1_modD,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.016666666666667496,tTSA1_modD,tTSA1,modD,-0.4794444444444442,0.49611111111111167,0.70901540995553,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modE_bio_rep1,pPGK1-mCherry-tTSA1_modE,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.4083333333333332,tTSA1_modE,tTSA1,modE,-0.4794444444444442,0.8877777777777773,0.540445940959835,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modE_bio_rep2,pPGK1-mCherry-tTSA1_modE,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,0.4516666666666662,tTSA1_modE,tTSA1,modE,-0.4794444444444442,0.9311111111111103,0.5244542706765779,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_modE_bio_rep3,pPGK1-mCherry-tTSA1_modE,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,0.22833333333333172,tTSA1_modE,tTSA1,modE,-0.4794444444444442,0.7077777777777758,0.6122624973869223,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_WT_bio_rep1,pPGK1-mCherry-tTSA1_WT,bio_rep1,pPGK1-mCherry,pPGK1,mCherry,0.42166666666666686,tTSA1_WT,tTSA1,WT,-0.4794444444444442,0.901111111111111,0.5354741697397083,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_WT_bio_rep2,pPGK1-mCherry-tTSA1_WT,bio_rep2,pPGK1-mCherry,pPGK1,mCherry,-0.245000000000001,tTSA1_WT,tTSA1,WT,-0.4794444444444442,0.23444444444444318,0.8500122603466118,FALSE
1,mCh-7,pPGK1-mCherry-tTSA1_WT_bio_rep3,pPGK1-mCherry-tTSA1_WT,bio_rep3,pPGK1-mCherry,pPGK1,mCherry,-0.8266666666666662,tTSA1_WT,tTSA1,WT,-0.4794444444444442,-0.34722222222222204,1.2721089380363313,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep4,pSRO9-mCherry-tTSA1_mod0,bio_rep4,pSRO9-mCherry,pSRO9,mCherry,4.7666666666666675,tTSA1_mod0,tTSA1,mod0,4.567222222222222,0.19944444444444542,0.8708858609996538,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep5,pSRO9-mCherry-tTSA1_mod0,bio_rep5,pSRO9-mCherry,pSRO9,mCherry,4.463333333333333,tTSA1_mod0,tTSA1,mod0,4.567222222222222,-0.10388888888888914,1.0746664027807589,FALSE
2,mCh-7,pSRO9-mCherry-tTSA1_mod0_bio_rep6,pSRO9-mCherry-tTSA1_mod0,bio_rep6,pSRO9-mCherry,pSRO9,mCherry,4.471666666666666,tTSA1_mod0,tTSA1,mod0,4.567222222222222,-0.09555555555555628,1.068476779763221,FALSE
