"strain","pro_mCh","promoter","mCherry","target_id","ter_mod","terminator","construct","bio_rep","exp_rep","deltacq","rel_abund_deltacq","na.rm","remove"
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep5","2",0.0850000000000009,0.942784535918239,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep6","2",-0.305,1.23541863712693,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep1","1",-1.48,2.78948733270081,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep2","1",0.324999999999999,0.79829838635665,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modB","tTSA1","modB","bio_rep3","1",-0.441666666666666,1.35817244382732,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep4","2",1.04333333333333,0.48520511574677,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep5","2",0.695,0.617709318563464,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep6","2",1.285,0.410370804405249,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep1","1",1.6,0.329876977693223,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep2","1",0.505000000000001,0.704660377571009,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modB","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modB","tTSA1","modB","bio_rep3","1",1.15833333333333,0.448029820955976,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep4","2",-0.318333333333333,1.2468892535861,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep5","2",-0.390000000000001,1.31039340385836,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep6","2",-0.131666666666666,1.09555860941588,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep1","1",0.254999999999999,0.837987134667949,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep2","1",-0.081666666666667,1.05823986130119,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modC","tTSA1","modC","bio_rep3","1",0.271666666666667,0.828362031494618,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep4","2",-1.21833333333333,2.32677762077707,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep5","2",-1.26,2.39495740923786,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep6","2",-1.09166666666667,2.13120100325697,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep1","1",-1.235,2.35381347443754,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep2","1",-0.741666666666667,1.67210641657702,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modC","tTSA1","modC","bio_rep3","1",-0.768333333333334,1.70330091611305,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep4","2",-0.218333333333334,1.16338881038853,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep5","2",-0.140000000000001,1.10190511587661,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep6","2",-0.231666666666666,1.17419064422511,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep1","1",-0.465,1.38031735339663,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep2","1",-0.0316666666666681,1.02219232674721,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","TSA1-ORF","tTSA1_modC","tTSA1","modC","bio_rep3","1",-0.278333333333334,1.21279300137573,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep4","2",1.23166666666667,0.425825229028263,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep5","2",1.21,0.432268615653933,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep6","2",1.13833333333333,0.454284084186941,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep1","1",1.335,0.396392068305143,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep2","1",0.938333333333333,0.521835380206875,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modC","pTSA1-mCherry","pTSA1","mCherry","URA3-ORF","tTSA1_modC","tTSA1","modC","bio_rep3","1",0.771666666666667,0.585740409747309,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep4","2",0.110000000000001,0.92658806189037,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep5","2",0.17,0.88884268116657,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep6","2",0.00833333333333286,0.994240423817548,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep1","1",0.716666666666667,0.608501756835295,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep2","1",0.575000000000001,0.671286251390131,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","mCh-7","tTSA1_modD","tTSA1","modD","bio_rep3","1",0.483333333333333,0.71532296621763,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep4","2",-1.09,2.12874036490672,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep5","2",-1.12,2.17346972505212,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep6","2",-0.961666666666666,1.94755850353667,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep1","1",-1.32333333333333,2.5024362789875,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep2","1",-1.205,2.30537269359773,FALSE,FALSE
"pTSA1-mCherry-tTSA1_modD","pTSA1-mCherry","pTSA1","mCherry","PGK1-ORF","tTSA1_modD","tTSA1","modD","bio_rep3","1",-1.30666666666667,2.47369334681887,FALSE,FALSE
