"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","BioRep","Ter_mod","Terminator","Construct","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp"
TRUE,255,"A14","Sample 14",11.8,NA,0,NA,"A14",11.8,"1","A","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","mCh-7",13.88,-2.08,4.22807216224552
TRUE,255,"B14","Sample 38",13.9,NA,0,NA,"B14",13.9,"1","B","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","URA3-ORF",13.88,0.0199999999999996,0.986232704493359
TRUE,255,"C14","Sample 62",14.35,NA,0,NA,"C14",14.35,"1","C","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","RPS3-ORF",13.88,0.469999999999999,0.721964597761249
TRUE,255,"D14","Sample 86",14.37,NA,0,NA,"D14",14.37,"1","D","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","PGK1-ORF",13.88,0.489999999999998,0.712025097798537
TRUE,255,"E14","Sample 110",11.79,NA,0,NA,"E14",11.79,"1","E","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","mCh-7",13.88,-2.09,4.25748072981344
TRUE,255,"F14","Sample 134",13.58,NA,0,NA,"F14",13.58,"1","F","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","URA3-ORF",13.88,-0.300000000000001,1.23114441334492
TRUE,255,"G14","Sample 158",13.81,NA,0,NA,"G14",13.81,"1","G","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","RPS3-ORF",13.88,-0.0700000000000003,1.04971668362307
TRUE,255,"H14","Sample 182",13.43,NA,0,NA,"H14",13.43,"1","H","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","PGK1-ORF",13.88,-0.450000000000001,1.3660402567544
TRUE,255,"I14","Sample 206",11.51,NA,0,NA,"I14",11.51,"1","I","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","3","mCh-7",13.88,-2.37,5.16941132254997
TRUE,255,"J14","Sample 230",12.91,NA,0,NA,"J14",12.91,"1","J","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","3","URA3-ORF",13.88,-0.970000000000001,1.95884059517385
TRUE,255,"K14","Sample 254",13.88,NA,0,NA,"K14",13.88,"1","K","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","3","RPS3-ORF",13.88,0,1
TRUE,255,"L14","Sample 278",13.99,NA,0,NA,"L14",13.99,"1","L","14","pPGK1-mCherry-tRPS3_modC_BioRep2","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep2","tRPS3_modC","tRPS3","modC",FALSE,"+RT","3","PGK1-ORF",13.88,0.109999999999999,0.926588061890371
TRUE,255,"A15","Sample 15",12.54,NA,0,NA,"A15",12.54,"1","A","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","mCh-7",13.89,-1.35,2.54912125463853
TRUE,255,"B15","Sample 39",14.36,NA,0,NA,"B15",14.36,"1","B","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","URA3-ORF",13.89,0.469999999999999,0.721964597761249
TRUE,255,"C15","Sample 63",14.38,NA,0,NA,"C15",14.38,"1","C","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","RPS3-ORF",13.89,0.49,0.712025097798536
TRUE,255,"D15","Sample 87",13.89,NA,0,NA,"D15",13.89,"1","D","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","1","PGK1-ORF",13.89,0,1
TRUE,255,"E15","Sample 111",11.96,NA,0,NA,"E15",11.96,"1","E","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","mCh-7",13.89,-1.93,3.81055199217575
TRUE,255,"F15","Sample 135",13.72,NA,0,NA,"F15",13.72,"1","F","15","pPGK1-mCherry-tRPS3_modC_BioRep3","pPGK1-mCherry-tRPS3_modC","pPGK1-mCherry","pPGK1","mCherry","BioRep3","tRPS3_modC","tRPS3","modC",FALSE,"+RT","2","URA3-ORF",13.89,-0.17,1.12505848468881
