"Include","Color","Pos","Name","Cp","Concentration","Standard","Status","Well","Cq","ExpRep","WellR","WellC","SampleID","Strain","Pro_mCh","Promoter","mCherry","Ter_mod","Terminator","Construct","BioRep","remove","Type","TechRep","TargetID","norm.by","Value.norm","Value.normexp","Value.norm.mod0"
TRUE,255,"A7","Sample 7",13.51,NA,0,NA,"A7",13.51,"2","A","7","pRPS3-mCherry-tRPS3_modA_BioRep4","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep4",FALSE,"+RT","1","mCh-7",14.53,-1.02,2.02791895958006,-0.155
TRUE,255,"E7","Sample 103",13.52,NA,0,NA,"E7",13.52,"2","E","7","pRPS3-mCherry-tRPS3_modA_BioRep4","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep4",FALSE,"+RT","2","mCh-7",14.53,-1.01,2.01391110011344,-0.145
TRUE,255,"I7","Sample 199",12.93,NA,0,NA,"I7",12.93,"2","I","7","pRPS3-mCherry-tRPS3_modA_BioRep4","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep4",FALSE,"+RT","3","mCh-7",14.53,-1.6,3.0314331330208,-0.735
TRUE,255,"A8","Sample 8",13.52,NA,0,NA,"A8",13.52,"2","A","8","pRPS3-mCherry-tRPS3_modA_BioRep5","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep5",FALSE,"+RT","1","mCh-7",14.78,-1.26,2.39495740923786,-0.395
TRUE,255,"E8","Sample 104",13.52,NA,0,NA,"E8",13.52,"2","E","8","pRPS3-mCherry-tRPS3_modA_BioRep5","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep5",FALSE,"+RT","2","mCh-7",14.78,-1.26,2.39495740923786,-0.395
TRUE,255,"I8","Sample 200",12.91,NA,0,NA,"I8",12.91,"2","I","8","pRPS3-mCherry-tRPS3_modA_BioRep5","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep5",FALSE,"+RT","3","mCh-7",14.78,-1.87,3.6553258009176,-1.005
TRUE,255,"A9","Sample 9",13.63,NA,0,NA,"A9",13.63,"2","A","9","pRPS3-mCherry-tRPS3_modA_BioRep6","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep6",FALSE,"+RT","1","mCh-7",14.45,-0.819999999999999,1.76540599258131,0.0450000000000008
TRUE,255,"E9","Sample 105",13.4,NA,0,NA,"E9",13.4,"2","E","9","pRPS3-mCherry-tRPS3_modA_BioRep6","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep6",FALSE,"+RT","2","mCh-7",14.45,-1.05,2.07052984768275,-0.185
TRUE,255,"I9","Sample 201",13.21,NA,0,NA,"I9",13.21,"2","I","9","pRPS3-mCherry-tRPS3_modA_BioRep6","pRPS3-mCherry-tRPS3_modA","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modA","tRPS3","modA","BioRep6",FALSE,"+RT","3","mCh-7",14.45,-1.24,2.36198532285906,-0.374999999999999
TRUE,255,"A10","Sample 10",12.4,NA,0,NA,"A10",12.4,"1","A","10","pRPS3-mCherry-tRPS3_modB_BioRep1","pRPS3-mCherry-tRPS3_modB","pRPS3-mCherry","pRPS3","mCherry","tRPS3_modB","tRPS3","modB","BioRep1",FALSE,"+RT","1","mCh-7",10.72,1.68,0.312082637225403,2.545
