Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,I9,Sample 201,10.47,NA,0,NA,I9,10.47,I,9,pPGK1-mCherry-tTSA1_modA_BioRep3_ExpRep1,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep3,tTSA1_modA,tTSA1,modA,ExpRep1,FALSE,+RT,3,mCh-7,10.43,0.040000000000000924,0.9726549474122849
TRUE,255,A7,Sample 7,12.61,NA,0,NA,A7,12.61,A,7,pPGK1-mCherry-tTSA1_modA_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,1,mCh-7,11.74,0.8699999999999992,0.54714685063037
TRUE,255,E7,Sample 103,12.53,NA,0,NA,E7,12.53,E,7,pPGK1-mCherry-tTSA1_modA_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,2,mCh-7,11.74,0.7899999999999991,0.578344091952644
TRUE,255,I7,Sample 199,12.57,NA,0,NA,I7,12.57,I,7,pPGK1-mCherry-tTSA1_modA_BioRep4_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep4,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,3,mCh-7,11.74,0.8300000000000001,0.5625292423444047
TRUE,255,A8,Sample 8,11.56,NA,0,NA,A8,11.56,A,8,pPGK1-mCherry-tTSA1_modA_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,1,mCh-7,10.97,0.5899999999999999,0.6643429070482558
TRUE,255,E8,Sample 104,11.43,NA,0,NA,E8,11.43,E,8,pPGK1-mCherry-tTSA1_modA_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,2,mCh-7,10.97,0.4599999999999991,0.7269862586601558
TRUE,255,I8,Sample 200,11.48,NA,0,NA,I8,11.48,I,8,pPGK1-mCherry-tTSA1_modA_BioRep5_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep5,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,3,mCh-7,10.97,0.5099999999999998,0.7022224378689987
TRUE,255,A9,Sample 9,11.75,NA,0,NA,A9,11.75,A,9,pPGK1-mCherry-tTSA1_modA_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,1,mCh-7,11.19,0.5600000000000005,0.6783021637238357
TRUE,255,E9,Sample 105,11.38,NA,0,NA,E9,11.38,E,9,pPGK1-mCherry-tTSA1_modA_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,2,mCh-7,11.19,0.19000000000000128,0.8766057213160343
TRUE,255,I9,Sample 201,11.6,NA,0,NA,I9,11.6,I,9,pPGK1-mCherry-tTSA1_modA_BioRep6_ExpRep2,pPGK1-mCherry-tTSA1_modA,pPGK1-mCherry,pPGK1,mCherry,BioRep6,tTSA1_modA,tTSA1,modA,ExpRep2,FALSE,+RT,3,mCh-7,11.19,0.41000000000000014,0.7526233737055336
TRUE,255,A10,Sample 10,9.83,NA,0,NA,A10,9.83,A,10,pPGK1-mCherry-tTSA1_modB_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,1,mCh-7,10.63,-0.8000000000000007,1.7411011265922491
TRUE,255,E10,Sample 106,9.79,NA,0,NA,E10,9.79,E,10,pPGK1-mCherry-tTSA1_modB_BioRep1_ExpRep1,pPGK1-mCherry-tTSA1_modB,pPGK1-mCherry,pPGK1,mCherry,BioRep1,tTSA1_modB,tTSA1,modB,ExpRep1,FALSE,+RT,2,mCh-7,10.63,-0.8400000000000016,1.790050141855947
