Include,Color,Pos,Name,Cp,Concentration,Standard,Status,well,cq,well_row,well_col,sample_id,strain,pro_mCh,promoter,mCherry,bio_rep,ter_mod,terminator,construct,exp_rep,remove,prep_type,tech_rep,target_id,ref_cq,delta_cq,rel_abund
TRUE,255,E10,Sample 106,12.15,NA,0,NA,E10,12.15,E,10,pRPS3-mCherry-tRPS3_modB_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,2,mCh-7,11.42,0.7300000000000004,0.60290391384538
TRUE,255,I10,Sample 202,11.7,NA,0,NA,I10,11.7,I,10,pRPS3-mCherry-tRPS3_modB_BioRep1_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep1,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,3,mCh-7,11.42,0.27999999999999936,0.8235910172675734
TRUE,255,A11,Sample 11,11.91,NA,0,NA,A11,11.91,A,11,pRPS3-mCherry-tRPS3_modB_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,1,mCh-7,11.42,0.4900000000000002,0.7120250977985357
TRUE,255,E11,Sample 107,12.22,NA,0,NA,E11,12.22,E,11,pRPS3-mCherry-tRPS3_modB_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,2,mCh-7,11.42,0.8000000000000007,0.5743491774985172
TRUE,255,I11,Sample 203,11.69,NA,0,NA,I11,11.69,I,11,pRPS3-mCherry-tRPS3_modB_BioRep2_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep2,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,3,mCh-7,11.42,0.2699999999999996,0.8293195458144419
TRUE,255,A12,Sample 12,12.36,NA,0,NA,A12,12.36,A,12,pRPS3-mCherry-tRPS3_modB_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,1,mCh-7,11.37,0.9900000000000002,0.5034777750283593
TRUE,255,E12,Sample 108,12.41,NA,0,NA,E12,12.41,E,12,pRPS3-mCherry-tRPS3_modB_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,2,mCh-7,11.37,1.040000000000001,0.48632747370614243
TRUE,255,I12,Sample 204,11.5,NA,0,NA,I12,11.5,I,12,pRPS3-mCherry-tRPS3_modB_BioRep3_ExpRep1,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep3,tRPS3_modB,tRPS3,modB,ExpRep1,FALSE,+RT,3,mCh-7,11.37,0.13000000000000078,0.9138314502294
TRUE,255,A10,Sample 10,15.13,NA,0,NA,A10,15.13,A,10,pRPS3-mCherry-tRPS3_modB_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,1,mCh-7,14.75,0.3800000000000008,0.7684375906440057
TRUE,255,E10,Sample 106,14.96,NA,0,NA,E10,14.96,E,10,pRPS3-mCherry-tRPS3_modB_BioRep4_ExpRep2,pRPS3-mCherry-tRPS3_modB,pRPS3-mCherry,pRPS3,mCherry,BioRep4,tRPS3_modB,tRPS3,modB,ExpRep2,FALSE,+RT,2,mCh-7,14.75,0.21000000000000085,0.8645372313078646
